
2012-05-15 19:02:34 006 39.79 1 1 

2012-05-19 16:02:36 006 32.11 1 1 


2012-05-19 01:43:17 006 33.62 1 1 

2012-05-19 01:52:41 006 31.65 1 1 

2012-05-19 03:15:53 006 34.39 1 1 

2012-05-19 03:22:58 006 48.82 1 2 

2012-05-19 05:29:37 006 54.44 1 2 

2012-05-19 05:43:33 006 31.66 1 1 

2012-05-19 06:49:12 006 31.34 1 1 

2012-05-19 07:05:15 006 28.31 1 1 

2012-05-19 08:24:26 006 33.49 1 1 

2012-05-19 09:05:20 006 44.54 1 2 

2012-05-19 09:18:13 006 33.92 1 1 

2012-05-19 16:19:57 006 31.17 1 1 


2012-05-19 18:11:59 006 29.72 1 1 

2012-05-20 04:34:06 006 51.59 1 2 

2012-05-20 04:39:52 006 54.22 1 2 

2012-05-20 08:37:34 006 50.07 1 2 

2012-05-20 08:40:37 006 49.83 1 2 

2012-05-20 08:50:53 006 52.02 1 2 

2012-05-20 09:40:31 006 36.01 1 1 

2012-05-20 09:54:05 006 36.60 1 1 


2012-05-13 15:46:03 007 23.43 1 2 

2012-05-14 01:11:49 007 21.39 1 2 

2012-05-14 01:14:28 007 20.02 1 2 

2012-05-14 01:15:44 007 50.78 1 1 

2012-05-14 04:07:45 007 49.96 1 1 

2012-05-14 04:08:41 007 24.64 1 2 

2012-05-14 06:02:51 007 31.52 1 2 

2012-05-15 15:59:11 007 52.02 1 1 

2012-05-15 02:42:05 007 22.93 1 2 

2012-05-15 16:13:48 007 23.13 1 2 

2012-05-15 16:14:45 007 50.76 1 1 
 

2012-05-15 16:17:26 007 29.16 1 2 

2012-05-15 18:05:43 007 25.56 1 2 

2012-05-15 18:06:56 007 57.57 1 1 

2012-05-15 18:08:02 007 62.52 1 1 

2012-05-15 18:08:50 007 26.20 1 2 

2012-05-19 03:23:04 007 22.50 1 2 

2012-05-19 03:24:12 007 48.11 1 1 

2012-05-19 05:28:21 007 51.43 1 1 

2012-05-19 05:29:20 007 21.75 1 2 

2012-05-19 09:05:05 007 30.06 1 2 

2012-05-19 16:30:16 007 20.86 1 2 

2012-05-19 18:01:09 007 52.75 1 1 

2012-05-19 18:02:09 007 26.02 1 2 

2012-05-20 04:33:58 007 23.74 1 2 

2012-05-20 04:39:56 007 22.02 1 2 

2012-05-20 08:37:19 007 25.46 1 2 

2012-05-20 08:40:27 007 24.75 1 2 

2012-05-20 08:50:59 007 25.03 1 2 


2012-05-12 00:52:38 008 218.87 1 2 

2012-05-12 01:13:18 008 207.71 1 2 



2012-05-13 10:19:06 008 33.45 1 1 

2012-05-13 10:29:41 008 31.38 1 1 

2012-05-13 11:21:39 008 33.18 1 1 

2012-05-13 13:45:27 008 31.11 1 1 

2012-05-13 15:11:01 008 33.83 1 1 

2012-05-13 15:19:55 008 34.48 1 1 

2012-05-13 15:57:03 008 30.33 1 1 

2012-05-13 16:16:13 008 32.21 1 1 

2012-05-13 16:53:11 008 32.23 1 1 

2012-05-13 17:05:42 008 31.36 1 1 

2012-05-14 18:52:18 008 35.75 1 1 

2012-05-14 18:59:36 008 41.11 1 1 

2012-05-15 03:11:43 008 214.08 1 2 

2012-05-15 03:31:02 008 209.00 1 2 

2012-05-15 11:46:38 008 31.52 1 1 

2012-05-15 12:40:07 008 31.50 1 1 

2012-05-15 13:16:49 008 35.05 1 1 

2012-05-15 14:40:04 008 33.97 1 1 

2012-05-15 14:51:43 008 33.89 1 1 

2012-05-15 15:29:58 008 32.59 1 1 

2012-05-15 15:39:41 008 33.19 1 1 

2012-05-15 16:55:51 008 33.80 1 1 

2012-05-15 17:03:30 008 29.02 1 1 

2012-05-15 17:39:26 008 35.47 1 1 

2012-05-15 17:46:36 008 34.80 1 1 

2012-05-15 08:13:38 008 32.08 1 1 

2012-05-15 13:28:11 008 33.63 1 1 

2012-05-15 14:00:21 008 32.33 1 1 


2012-05-15 17:05:07 008 32.24 1 1 


2012-05-15 01:39:55 008 31.64 1 1 

2012-05-15 02:35:07 008 33.94 1 1 


2012-05-15 16:07:06 008 30.24 1 1 

2012-05-15 16:18:37 008 33.29 1 1 

2012-05-15 18:04:33 008 35.57 1 1 

2012-05-15 18:18:29 008 32.52 1 1 

2012-05-15 18:55:07 008 33.49 1 1 

2012-05-15 19:02:37 008 30.19 1 1 


2012-05-15 09:42:04 008 205.60 1 2 

2012-05-19 16:02:19 008 32.64 1 1 

2012-05-19 16:09:50 008 32.76 1 1 


2012-05-19 01:52:56 008 26.47 1 1 

2012-05-19 03:15:45 008 31.00 1 1 

2012-05-19 05:43:45 008 36.21 1 1 

2012-05-19 06:39:36 008 39.99 1 1 

2012-05-19 06:49:19 008 32.88 1 1 

2012-05-19 08:24:39 008 32.39 1 1 

2012-05-19 08:32:55 008 37.63 1 1 

2012-05-19 09:18:26 008 39.71 1 1 

2012-05-19 16:19:46 008 35.57 1 1 


